"address","type","parking_space","area","district_city","nearest_subway_station"
"191014, Сакт-Петербург, улица Маяковского, дом 7/27","Платная",6,12,"Центральный","Маяковская"
"191014, Сакт-Петербург, улица Восстания, дом 46","Платная",5,10,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, дом 55","Платная",3,6,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, дом 40","Платная",7,14,"Центральный","Чернышевская"
"191123, Сакт-Петербург, улица Восстания, дом 53","Платная",3,6,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, дом 47","Платная",5,10,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, 36","Платная",6,12,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, дом 45","Платная",7,14,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, 34","Платная",6,12,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, дом 43","Платная",6,12,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, дом 37-39","Платная",4,8,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, 26","Платная",4,8,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, дом 35","Платная",2,4,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, дом 24/27","Платная",7,14,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, 33","Платная",6,12,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, 20","Платная",6,12,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, дом 25","Платная",5,10,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, дом 23/1","Платная",8,16,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, 16","Платная",3,6,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, дом 14","Платная",8,16,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, 10","Платная",12,24,"Центральный","Чернышевская"
"191036, Сакт-Петербург, улица Восстания, дом 19","Платная",12,24,"Центральный","Чернышевская"
"191036, Сакт-Петербург, улица Восстания, дом 17","Платная",10,20,"Центральный","Чернышевская"
"191025, Сакт-Петербург, улица Восстания, 8","Платная",12,24,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, дом 10","Платная",6,12,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, дом 15","Платная",4,8,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, дом 11","Платная",20,40,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, дом 9","Платная",4,8,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Восстания, дом 7","Платная",2,4,"Центральный","Чернышевская"
"191036, Сакт-Петербург, улица Восстания, дом 3-5","Платная",19,38,"Центральный","Чернышевская"
"191025, Сакт-Петербург, улица Восстания, дом 2","Платная",15,30,"Центральный","Чернышевская"
